N,P,K,temperature,humidity,ph,rainfall,label
39,69,53,25.9300384,93.02357765,6.964955435,241.8202079,papaya
28,23,28,30.01821337,50.09831810000001,5.676032581,96.08745082,mango
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
40,5,29,28.48444906,97.76865458,5.820978791,160.389421,coconut
84,29,49,29.94349168,93.90741192,6.251420275,20.39020503,muskmelon
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram
84,36,28,26.7350622,55.55164819,6.119892347,140.63052130000003,coffee
8,120,196,24.06679352,82.66396666,6.053662544,69.81855775,grapes
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,mungbean
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,coffee
23,62,19,16.51783455,20.4555596,5.609435127999999,98.77794225,kidneybeans
119,44,15,22.14593688,82.85975490000001,7.091992365,60.65381719,cotton
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple
102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,banana
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon
16,6,29,29.28725038,91.95614918,5.868285082000001,132.1491176,coconut
31,60,24,25.40474421,65.8567539,7.722335992,51.92057267,lentil
31,5,14,17.66545409,91.69865887,6.583411671,110.6857506,orange
38,61,52,31.22790131,94.94021378,6.620729882000001,46.44279118,papaya
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas
6,13,9,34.51423957,90.56151463,7.786725333,118.32719679999998,orange
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
87,6,45,29.82729394,90.79007335,6.40077205,22.84203589,muskmelon
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas
114,27,48,27.82054812,93.03555162,6.528404377999999,26.32405487,muskmelon
39,7,29,27.54273211,94.59086121,6.362544111,150.2012138,coconut
69,47,40,25.37122686,76.2403666,6.130136384,183.8270791,jute
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram
50,59,47,40.76998685,92.09278584,6.747975732,209.8678411,papaya
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,banana
101,37,18,22.92360984,82.68738535,7.63737841,92.91915074,cotton
117,27,48,26.53259325,82.39053979,6.835268183999999,54.30660782,watermelon
21,29,12,22.30318989,92.15987039,6.438668989,117.3688104,orange
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,coffee
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice
12,39,21,28.99319096,62.85948245,8.183844843,70.4713043,mothbeans
31,8,7,34.51465139,93.63812684,7.163245982,103.5684926,orange
40,24,25,28.70595247,50.44030129,5.445008416,95.8946444,mango
103,40,30,27.30901814,55.196224,6.3483162570000005,141.48316440000005,coffee
30,41,15,24.83206631,44.17085032,5.88509677,52.0810886,mothbeans
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram
39,17,45,18.09691127,90.42177379,6.9244907310000015,104.88188999999998,pomegranate
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
113,38,25,22.00085141,79.47270984,7.388265887999999,90.42224164,cotton
63,58,47,26.83054058,90.75379971,6.864143752,144.66564440000005,papaya
18,55,23,21.9989826,56.31006755,6.98571967,136.82743119999998,pigeonpeas
34,54,24,31.2119298,41.55934359,5.026003659,68.80141783,mothbeans
11,72,20,19.52226241,24.92607153,5.9511774520000005,113.334026,kidneybeans
118,21,34,24.38534644,64.72543073,7.234258375,119.6324109,coffee
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil
17,29,26,26.14162144,93.28415295,6.071897347,195.4115025,coconut
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
31,26,9,11.69894639,93.25638873,7.566165721,103.2005992,orange
109,12,48,29.45771748,92.12534736,6.708743843,20.76212031,muskmelon
84,7,51,26.81530456,87.65694462,6.399669044,55.74073582,watermelon
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans
100,10,53,24.54356968,84.60808277,6.211748957,42.00660251,watermelon
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas
16,51,21,31.01963639,49.97675220000001,3.532008668,32.81296548,mothbeans
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
76,54,45,24.29496635,77.62976013,6.176618831,184.9800516,jute
100,40,20,22.45145981,76.25674874,7.432043735,86.84998693,cotton
8,28,37,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
1,66,23,19.54317155,56.92831399,4.803564468,173.1686574,pigeonpeas
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
23,6,33,29.18032562,92.73041222,6.025789594,204.9603677,coconut
17,18,43,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
21,74,15,29.49096726,67.10604388,6.471862118,153.2504506,pigeonpeas
39,140,203,21.11903604,80.63399198,6.349875906,69.27779761,grapes
25,71,24,28.49538735,60.44848407,7.187721817999999,74.91559514,blackgram
31,29,35,27.1872282,92.19906776,6.137102505,141.3220576,coconut
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea
21,62,24,33.49077065,62.73317204,6.8473828910000005,65.45328463,blackgram
38,14,30,26.92449525,91.20106019,5.5707453860000005,194.9022136,coconut
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
118,88,51,25.44926208,79.49221962,6.201911642000001,100.6619171,banana
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,mothbeans
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans
0,27,38,22.44581266,89.90147027,6.7380162210000005,109.3905998,pomegranate
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
18,19,29,27.59376845,92.48519606,6.206077742000001,162.8432736,coconut
9,11,8,24.85903405,94.39000473,6.559236744,111.78037340000002,orange
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
99,92,47,28.127950899999995,77.48247073,6.3239336470000005,103.5045395,banana
28,136,200,23.06204373,92.39544055,6.245858905,114.7399101,apple
40,73,20,21.59343016,20.31871249,5.811314232000001,61.13872036,kidneybeans
95,30,52,29.48069921,90.33698678,6.640470862999999,26.0365768,muskmelon
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,mungbean
37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,mothbeans
8,26,26,25.54759871,91.64194826,5.702484758,212.867626,coconut
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,apple
29,8,28,26.87037587,91.72546257,6.100429497,214.4128874,coconut
7,63,24,22.95458237,24.03553105,5.858617867,107.7315386,kidneybeans
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,mothbeans
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
38,77,22,28.234829,69.3159965,6.313284267999999,35.36831423,lentil
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,watermelon
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,pigeonpeas
27,74,20,24.69487673,59.96669215,5.8598134160000015,91.95792434,pigeonpeas
13,67,18,30.5753044,34.75591197,5.384762927000001,177.5764304,pigeonpeas
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
84,55,38,26.8748389,79.78725152,6.956682742999999,173.1017097,jute
22,60,85,18.8392908,14.74071856,7.811997977000001,94.78189594,chickpea
9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,apple
26,27,10,28.06903173,92.91487288,6.079998496,114.1339416,orange
104,47,18,23.9656349,76.97696717,7.633437412,90.75616738,cotton
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
23,21,26,26.45488737,93.45042636,5.901495543999999,149.2220255,coconut
32,121,199,39.37102553,81.25353895,6.129812716,74.08101744,grapes
17,74,17,26.03026959,69.55863145,7.393210848,37.11395801,lentil
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon
35,134,204,9.949929082,82.55138983,5.841138354,66.00817551,grapes
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,grapes
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram
24,21,42,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
17,11,32,28.74013335,93.39676499,5.620733794,156.76508230000005,coconut
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
16,65,19,27.61204997,69.29786244,7.043160241,42.72374404,lentil
19,123,200,34.76086052,81.03544763,6.167013532,65.70430027,grapes
105,14,50,26.2148837,87.68839820000002,6.419052193,59.65590798,watermelon
78,46,42,23.09499564,78.45959697,7.095413294,155.3851533,jute
108,33,31,23.69287069,66.76090123,7.393825704,144.6576424,coffee
83,21,28,25.5674832,60.49244602,7.466900682999999,190.2257843,coffee
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans
77,51,44,23.25583402,82.7015932,7.124333547000001,166.2160846,jute
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,mothbeans
11,71,17,19.9191786,21.47324158,5.74644777,82.68554379,kidneybeans
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans
11,6,25,28.69164799,96.65248672,6.081568052000001,178.9635457,coconut
49,55,51,24.87212063,93.90560147,6.676578778,135.16945249999998,papaya
54,67,52,35.67667332,93.30641944,6.586107335,141.3381168,papaya
35,48,15,27.10818093,87.45126690000002,6.981758362000001,55.03723979,mungbean
31,36,29,33.93679864,52.72170281,6.460542749,97.4611918,mango
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,watermelon
18,74,15,24.9035819,22.27512704,5.70836603,146.4727237,kidneybeans
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
29,138,197,22.19055385,92.43764169,5.830892252000001,121.6622761,apple
40,68,17,34.1262979,65.14877461,7.733149554,70.40795007,blackgram
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea
21,139,201,19.3642553,83.36094029,5.980598579,67.15094741,grapes
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,grapes
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
140,40,17,22.72767171,77.07598065,6.006085786,77.55176318,cotton
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
31,25,38,24.96273236,92.40501423,6.4973666770000005,109.4169192,pomegranate
35,41,18,28.70562673,81.59200689,6.705008503999999,59.87065439,mungbean
90,86,52,25.85036988,81.95580471,5.793260262,119.08561709999998,banana
77,55,43,25.49941707,75.99987588,6.663559451,193.71418280000003,jute
29,36,25,28.28511547,88.4393979,7.130278657000001,48.56690235,mungbean
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea
27,120,200,21.45278675,90.74531921,6.1102188260000005,116.7036582,apple
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,kidneybeans
39,64,52,28.91842453,94.63676767,6.678695788,63.68794608,papaya
103,33,25,27.10210397,55.74973320000001,6.911066044,139.5013171,coffee
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram
24,67,22,20.120043,22.89845607,5.618844277000001,104.6252153,kidneybeans
26,37,30,35.39986338,49.45962621,6.166173833999999,97.41054011,mango
12,27,26,29.09382275,45.5661059,5.32307197,96.23520043,mango
21,20,31,25.60033702,99.7240104,5.855457599,165.82487319999996,coconut
58,51,47,42.13473976,91.70445386,6.757470637000001,197.402901,papaya
27,138,201,23.66682067,93.90191078,5.952367662,105.4004751,apple
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea
22,9,44,24.72235539,88.87651295,5.744361602000001,112.1926517,pomegranate
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea
100,14,49,29.48882958,91.07574233,6.365956657999999,26.01909355,muskmelon
26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,apple
98,26,49,27.29035669,90.53330091,6.130160472999999,23.49535234,muskmelon
89,25,50,27.04863538,91.34685096,6.375923383,25.08146686,muskmelon
9,38,25,34.58561471,50.34035336,5.497946899,100.3060719,mango
28,27,34,32.45465292,50.69693751,6.526654345,95.04871605,mango
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,cotton
27,22,29,28.83214859,92.17170353,6.000248647,145.41723869999996,coconut
0,17,42,23.20242586,91.19442671,6.8598408210000015,109.0946323,pomegranate
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
118,18,52,28.04943594,90.83130708,6.562832807,20.76223014,muskmelon
116,36,25,27.57847581,58.52534263,6.172090205,156.6810374,coffee
58,46,45,42.39413392,90.79028064,6.576261427,88.46607497,papaya
2,56,23,26.65333029,59.79023382,7.550090941,36.91852635,mothbeans
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
21,31,32,35.38598705,51.42664176,5.254532213,90.29643888,mango
110,22,47,29.03157242,91.82172592,6.243673725,24.93861254,muskmelon
23,75,25,31.07508973,47.19847683,7.077170002000001,91.31256412,pigeonpeas
23,59,25,27.826262300000003,88.73100226,6.320768488,56.68833819,mungbean
86,40,33,26.1387869,52.26311691,7.432322234,136.3027766,coffee
37,144,197,11.18994268,80.8084305,6.415555956,66.34234944,grapes
24,14,33,29.38072512,93.27565685,6.366219551,218.5241851,coconut
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton
27,71,23,23.45379018,46.48714759,7.10959773,150.87122019999995,pigeonpeas
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
38,135,203,23.76121837,93.661643,5.9655513110000005,100.825956,apple
39,25,36,18.90223032,94.99897537,5.567805185,107.6103211,pomegranate
118,31,34,27.54823036,62.88179198,6.123796057000001,181.4170812,coffee
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
106,49,24,23.03887865,76.47039772,6.983395572999999,90.64770699,cotton
82,35,35,25.49386782,86.97061481,7.299076163,176.5268267,jute
40,16,35,31.89356292,49.02450149,6.4841522000000005,89.59371481,mango
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
32,68,52,32.68067385,92.61715632,6.800321319,248.8592986,papaya
12,129,205,22.36238282,91.15761594,6.119432215,118.68327250000002,apple
54,61,77,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
6,69,19,26.88630675,41.69617915,4.7509292180000005,94.46748008,pigeonpeas
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407,mungbean
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,jute
39,24,39,23.65374106,93.32657504,6.431265737,109.8076178,pomegranate
25,121,201,30.50734778,82.71775569,5.594240602999999,70.08200379,grapes
23,45,21,31.46511256,51.79939437,8.985348193,74.44330654,mothbeans
60,55,40,24.9949957,88.95692783,7.02777956,151.4935635,jute
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
16,14,30,29.70931288,96.30484325,6.37466756,209.84539930000005,coconut
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,chickpea
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
34,6,30,27.0828252,97.00155491,5.948342571,171.7575545,coconut
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,jute
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,mango
81,25,49,29.86895762,93.25103208,6.076459669,26.26243014,muskmelon
2,123,205,22.36629253,90.78572467,5.739652177000001,124.9831618,apple
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,pigeonpeas
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,blackgram
12,8,10,16.14820285,91.4448027,7.995848977,107.4287664,orange
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
113,30,50,26.03967219,83.9862443,6.277484042999999,43.87712348,watermelon
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
28,123,198,23.46260321,91.45665004,5.682751473,111.7763395,apple
58,63,81,19.81344531,14.69765308,6.515499548999999,78.96514709,chickpea
108,24,31,24.12832546,56.18107663,6.431899747999999,147.27578180000003,coffee
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,pigeonpeas
1,15,9,29.98364695,94.55239717,7.53350946,115.3560318,orange
14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,apple
24,6,32,28.11321494,90.01734526,6.387067562,172.48136409999995,coconut
61,51,51,39.30050027,94.16193416,6.574677594,120.9512466,papaya
114,8,50,24.74631269,88.30866319,6.581587932000001,57.95826144,watermelon
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans
58,55,47,26.05375792,93.69111672,6.7424900270000006,240.6863901,papaya
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea
15,6,41,19.0087067,88.83768149,6.8973684770000006,108.6793978,pomegranate
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,chickpea
35,66,47,31.7018373,91.66232213,6.953439161,48.83810592,papaya
0,65,24,28.49584395,62.44616219,7.841496029,53.14531023,lentil
29,139,205,23.64142354,93.74461474,6.155939452999999,116.6912176,apple
21,21,38,22.5526059,89.32594859999998,6.327673765,104.8955643,pomegranate
26,80,83,17.08498521,16.14565756,7.528599957000001,71.31007253,chickpea
8,37,33,28.07802689,54.9640534,6.128167757000001,97.45373619,mango
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea
20,7,45,18.90592319,89.24126808,6.077886012,112.4750941,pomegranate
91,24,55,26.27061608,83.09194521,6.259086582999999,46.76837499,watermelon
3,67,24,17.00067625,19.90790546,5.520880013999999,103.2926407,kidneybeans
8,50,21,28.62911222,89.11480590000002,6.218923893,50.49913241,mungbean
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,muskmelon
97,22,50,26.26028739,86.14585891,6.769893799999998,58.97878791,watermelon
19,65,25,18.09551014,18.29318436,5.6250964460000015,144.7902323,kidneybeans
95,7,45,27.30008597,90.80015308,6.031665834,25.09484511,muskmelon
18,20,26,31.66524687,51.98594645,5.435840509,89.98024312,mango
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,chickpea
111,88,55,29.44795403,78.34971537,5.505393832999999,96.45042585,banana
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas
54,66,52,36.56769731,93.79503425,6.867554147000001,104.4218596,papaya
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,pigeonpeas
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,mungbean
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut
108,46,17,24.3017998,84.87668973,6.93221485,65.0247867,cotton
32,139,198,35.89307536,82.66850729,6.358186848,66.53946559,grapes
29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,apple
22,68,16,27.70496805,63.20915034,7.74672376,37.46160727,lentil
109,91,53,29.66727337,83.51014178,6.010095852999999,110.2511102,banana
65,39,45,23.66805429,70.89000744,6.768001309,184.4633281,jute
33,138,198,22.29423493,90.69033986,6.222390797999999,122.7418744,apple
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
29,121,196,22.84852833,94.32130209,6.079497202000001,123.5977843,apple
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean
117,19,55,28.80311922,91.78336933,6.121745389,25.16359891,muskmelon
80,15,28,23.11438731,68.00096043,6.703270635,161.8944624,coffee
95,37,35,27.31317116,68.42333909999999,6.348337518999998,192.4288139,coffee
40,70,20,31.80130272,45.03186173,5.623490042999999,147.03614419999997,pigeonpeas
81,36,38,23.76554749,87.98329901,6.334837865,150.31661519999997,jute
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,kidneybeans
93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
61,41,44,24.36972377,82.11319791,6.537914957999999,159.92109340000005,jute
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,pigeonpeas
2,36,31,30.90225239,49.95955487,5.73171945,91.77522598,mango
13,69,19,17.30844532,20.01730914,5.86390397,115.199245,kidneybeans
40,30,35,20.89273273,91.07776977,6.269663962999999,104.4407083,pomegranate
90,16,45,24.92093261,80.61750795,6.291540277999999,50.55710813,watermelon
41,74,18,28.75751783,61.02701476,6.599147297999999,73.37686831,blackgram
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
8,45,15,28.09568993,60.98353839999999,4.61136408,33.84110759,mothbeans
0,55,22,22.98666928,20.57940608,5.916779289,143.85849380000005,kidneybeans
22,38,31,31.53356352,53.06009323,5.8211060360000015,98.57025046,mango
111,39,22,22.60361557,80.35090459999998,6.135025006,88.57395505,cotton
56,65,45,38.2016825,93.97379963,6.751298936,218.09088140000003,papaya
23,35,18,26.4908332,47.36534833,5.414492777,36.99362831,mothbeans
102,49,21,24.69315538,84.84422454,6.253343655,89.799462,cotton
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,mungbean
32,25,9,10.35609594,93.75652041,7.796034006,101.1456947,orange
89,41,38,23.12844351,74.68322732,6.344751947000001,199.83629130000003,jute
48,62,15,25.36586097,66.6379724,7.538631462000001,65.81655892,blackgram
20,40,15,29.57329479,88.07505524,7.199495367999999,45.04467075,mungbean
111,32,34,25.46743689,69.35161206,6.392048018,171.37644619999998,coffee
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,banana
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
35,68,45,42.93605359,90.09448142,6.612429546,234.8466111,papaya
27,139,205,22.48403042,93.40819246,5.7721799460000005,105.5473627,apple
37,11,36,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
20,19,35,34.17719782,50.62161586,6.113935087000001,98.00687989,mango
10,18,35,27.79797651,99.64573002,6.381975465,181.6942283,coconut
35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,apple
28,70,21,25.39038396,60.4989659,7.437373666,39.18374505,lentil
89,57,43,26.91515043,73.19897535,6.998787171,177.22330480000005,jute
11,40,23,29.61253065,63.04749127,5.80428611,50.1978269,mothbeans
5,65,19,18.28072173,68.10365387,6.978361689,48.80253285,lentil
26,9,32,25.9490364,94.73860514,6.470465614,144.15711090000005,coconut
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram
71,52,43,26.47549543,73.96164569,6.732826127,180.2513601,jute
10,59,22,28.60901145,86.99495766,7.1556850160000005,36.94616965,mungbean
125,60,17,24.14386157,84.51591287,6.785723961,80.36146974,cotton
86,6,53,25.92030221,83.47202566,6.921847887999999,42.10681516,watermelon
22,144,196,21.91191314,91.68748063,6.4992268210000015,117.0761277,apple
38,132,197,20.42094753,81.54185044,5.931101816,66.93065667,grapes
25,7,35,28.38503882,99.18843684,5.55771171,189.67113490000003,coconut
